Materials,location,GWP,Ozone Depletion,Particulate Matter,Acidification,Eutrophication Freshwater,Eutrophication Marine,Eutrophication Terrestrial,Ionizing Radiation,Photochemical Ozone Formation,Human Toxicity Cancer,Human Toxicity Non-cancer,Ecotoxicity Fresh Water,Land Use,Water Scarcity,Resource Depletion Energy,Resource Depletion Mineral and Metals
silicon carbide,EU,7.32E+00,7.99E-08,3.07E-07,3.71E-02,2.36E-03,5.96E-03,6.28E-02,9.00E-01,2.23E-02,9.29E-09,3.53E-08,1.57E+01,1.84E+01,1.27E+00,1.05E+02,6.82E-06
silicon carbide,US,7.32E+00,7.99E-08,3.07E-07,3.71E-02,2.36E-03,5.96E-03,6.28E-02,9.00E-01,2.23E-02,9.29E-09,3.53E-08,1.57E+01,1.84E+01,1.27E+00,1.05E+02,6.82E-06
ceramic,China,8.36E-01,1.25E-08,2.12E-06,4.44E-03,2.45E-04,8.04E-04,9.38E-03,4.56E-02,3.07E-03,3.59E-09,1.65E-08,7.56E+00,7.91E+00,2.07E-01,1.10E+01,3.08E-05
ceramic,EU,8.36E-01,1.25E-08,2.12E-06,4.44E-03,2.45E-04,8.04E-04,9.38E-03,4.56E-02,3.07E-03,3.59E-09,1.65E-08,7.56E+00,7.91E+00,2.07E-01,1.10E+01,3.08E-05
ceramic,US,8.36E-01,1.25E-08,2.12E-06,4.44E-03,2.45E-04,8.04E-04,9.38E-03,4.56E-02,3.07E-03,3.59E-09,1.65E-08,7.56E+00,7.91E+00,2.07E-01,1.10E+01,3.08E-05
glass,China,2.57E+00,3.50E-08,1.45E-07,1.90E-02,6.89E-04,3.94E-03,4.20E-02,2.19E-01,1.30E-02,6.64E-09,1.32E-07,9.68E+00,6.78E+00,6.46E-01,3.42E+01,2.94E-04
glass,EU,2.57E+00,3.50E-08,1.45E-07,1.90E-02,6.89E-04,3.94E-03,4.20E-02,2.19E-01,1.30E-02,6.64E-09,1.32E-07,9.68E+00,6.78E+00,6.46E-01,3.42E+01,2.94E-04
glass,US,2.57E+00,3.50E-08,1.45E-07,1.90E-02,6.89E-04,3.94E-03,4.20E-02,2.19E-01,1.30E-02,6.64E-09,1.32E-07,9.68E+00,6.78E+00,6.46E-01,3.42E+01,2.94E-04
titanium,China,5.28E+01,1.06E-06,4.98E-06,3.06E-01,2.31E-02,5.13E-02,5.34E-01,2.78E+00,1.97E-01,1.88E-07,3.94E-07,2.04E+02,2.38E+02,8.91E+00,5.37E+02,2.40E-04
titanium,EU,5.28E+01,1.06E-06,4.98E-06,3.06E-01,2.31E-02,5.13E-02,5.34E-01,2.78E+00,1.97E-01,1.88E-07,3.94E-07,2.04E+02,2.38E+02,8.91E+00,5.37E+02,2.40E-04
titanium,US,5.28E+01,1.06E-06,4.98E-06,3.06E-01,2.31E-02,5.13E-02,5.34E-01,2.78E+00,1.97E-01,1.88E-07,3.94E-07,2.04E+02,2.38E+02,8.91E+00,5.37E+02,2.40E-04
concrete,China,3.11E+02,1.88E-06,1.33E-05,1.11E+00,3.72E-02,3.31E-01,3.69E+00,4.54E+00,1.10E+00,7.12E-07,2.32E-06,8.63E+02,1.86E+03,2.93E+01,2.14E+03,1.56E-03
concrete,EU,3.11E+02,1.88E-06,1.33E-05,1.11E+00,3.72E-02,3.31E-01,3.69E+00,4.54E+00,1.10E+00,7.12E-07,2.32E-06,8.63E+02,1.86E+03,2.93E+01,2.14E+03,1.56E-03
concrete,US,3.11E+02,1.88E-06,1.33E-05,1.11E+00,3.72E-02,3.31E-01,3.69E+00,4.54E+00,1.10E+00,7.12E-07,2.32E-06,8.63E+02,1.86E+03,2.93E+01,2.14E+03,1.56E-03
Nafion_Membrane,China,1.28E+02,3.69E-03,5.35E-07,7.27E-02,3.43E-03,7.99E-03,8.45E-02,8.53E-01,3.49E-02,1.45E-07,3.42E-07,1.10E+02,2.98E+01,5.70E+00,1.36E+02,2.70E-04
Nafion_Membrane,EU,1.28E+02,3.69E-03,5.35E-07,7.27E-02,3.43E-03,7.99E-03,8.45E-02,8.53E-01,3.49E-02,1.45E-07,3.42E-07,1.10E+02,2.98E+01,5.70E+00,1.36E+02,2.70E-04
Nafion_Membrane,US,1.28E+02,3.69E-03,5.35E-07,7.27E-02,3.43E-03,7.99E-03,8.45E-02,8.53E-01,3.49E-02,1.45E-07,3.42E-07,1.10E+02,2.98E+01,5.70E+00,1.36E+02,2.70E-04
Pt,China,7.21E+04,4.58E-04,1.24E-02,5.02E+03,8.81E+01,3.97E+02,5.82E+03,2.54E+03,1.44E+03,1.49E-04,9.66E-04,1.51E+06,6.06E+05,1.57E+04,1.05E+06,3.53E+00
Pt,EU,7.21E+04,4.58E-04,1.24E-02,5.02E+03,8.81E+01,3.97E+02,5.82E+03,2.54E+03,1.44E+03,1.49E-04,9.66E-04,1.51E+06,6.06E+05,1.57E+04,1.05E+06,3.53E+00
Pt,US,7.21E+04,4.58E-04,1.24E-02,5.02E+03,8.81E+01,3.97E+02,5.82E+03,2.54E+03,1.44E+03,1.49E-04,9.66E-04,1.51E+06,6.06E+05,1.57E+04,1.05E+06,3.53E+00
